"","x"
"1135","yellow"
"1136","brown"
"1137","royalblue"
"1138","cyan"
"1139","darkturquoise"
"1140","black"
"1141","tan"
"1142","brown"
"1143","purple"
"1144","darkorange"
"1145","turquoise"
"1146","cyan"
"1147","magenta"
"1148","red"
"1149","yellow"
"1150","midnightblue"
"1151","cyan"
"1152","pink"
"1153","yellow"
"1154","purple"
"1155","darkgrey"
"1156","orange"
"1157","blue"
"1158","blue"
"1159","lightcyan"
"1160","green"
"1161","midnightblue"
"1162","purple"
"1163","purple"
"1164","lightyellow"
"1165","turquoise"
"1166","brown"
"1167","brown"
"1168","purple"
"1169","turquoise"
"1170","midnightblue"
"1171","midnightblue"
"1172","yellow"
"1173","blue"
"1174","yellow"
"1175","turquoise"
"1176","yellow"
"1177","royalblue"
"1178","tan"
"1179","cyan"
"1180","black"
"1181","blue"
"1182","lightcyan"
"1183","red"
"1184","turquoise"
"1185","red"
"1186","greenyellow"
"1187","royalblue"
"1188","yellow"
"1189","grey60"
"1190","black"
"1191","green"
"1192","darkgrey"
"1193","blue"
"1194","black"
"1195","cyan"
"1196","darkgrey"
"1197","purple"
"1198","brown"
"1199","orange"
"1200","tan"
"1201","turquoise"
"1202","turquoise"
"1203","turquoise"
"1204","grey"
"1205","turquoise"
"1206","darkgrey"
"1207","grey"
"1208","cyan"
"1209","purple"
"1210","green"
"1211","darkred"
"1212","black"
"1213","turquoise"
"1214","saddlebrown"
"1215","green"
"1216","turquoise"
"1217","turquoise"
"1218","grey"
"1219","brown"
"1220","midnightblue"
"1221","purple"
"1222","tan"
"1223","turquoise"
"1224","turquoise"
"1225","turquoise"
"1226","darkgrey"
"1227","midnightblue"
"1228","orange"
"1229","darkgrey"
"1230","tan"
"1231","darkgrey"
"1232","darkgrey"
"1233","midnightblue"
"1234","midnightblue"
"1235","midnightblue"
"1236","midnightblue"
"1237","royalblue"
"1238","turquoise"
"1239","black"
"1240","purple"
"1241","midnightblue"
"1242","lightcyan"
"1243","midnightblue"
"1244","lightcyan"
"1245","midnightblue"
"1246","darkturquoise"
"1247","turquoise"
"1248","purple"
"1249","purple"
"1250","skyblue"
"1251","darkgreen"
"1252","purple"
"1253","purple"
"1254","purple"
"1255","skyblue"
"1256","yellow"
"1257","grey60"
"1258","turquoise"
"1259","yellow"
"1260","darkgrey"
"1261","black"
"1262","pink"
"1263","black"
"1264","blue"
"1265","turquoise"
"1266","green"
"1267","skyblue"
"1268","brown"
"1269","cyan"
"1270","turquoise"
"1271","turquoise"
"1272","yellow"
"1273","cyan"
"1274","darkgrey"
"1275","turquoise"
"1276","lightyellow"
"1277","red"
"1278","turquoise"
"1279","green"
"1280","turquoise"
"1281","green"
"1282","red"
"1283","yellow"
"1284","grey60"
"1285","greenyellow"
"1286","pink"
"1287","grey60"
"1288","turquoise"
"1289","cyan"
"1290","darkorange"
"1291","grey60"
"1292","lightgreen"
"1293","yellow"
"1294","purple"
"1295","lightyellow"
"1296","white"
"1297","greenyellow"
"1298","lightgreen"
"1299","salmon"
"1300","brown"
"1301","yellow"
"1302","skyblue"
"1303","yellow"
"1304","turquoise"
"1305","blue"
"1306","darkgrey"
"1307","yellow"
"1308","tan"
"1309","blue"
"1310","pink"
"1311","blue"
"1312","lightyellow"
"1313","blue"
"1314","yellow"
"1315","cyan"
"1316","cyan"
"1317","salmon"
"1318","darkgreen"
"1319","blue"
"1320","blue"
"1321","grey"
"1322","purple"
"1323","pink"
"1324","saddlebrown"
"1325","red"
"1326","lightyellow"
"1327","salmon"
"1328","grey60"
"1329","magenta"
"1330","brown"
"1331","blue"
"1332","yellow"
"1333","brown"
"1334","purple"
"1335","grey"
"1336","yellow"
"1337","blue"
"1338","blue"
"1339","blue"
"1340","skyblue"
"1341","lightyellow"
"1342","grey60"
"1343","grey60"
"1344","tan"
"1345","red"
"1346","yellow"
"1347","turquoise"
"1348","lightcyan"
"1349","blue"
"1350","brown"
"1351","green"
"1352","turquoise"
"1353","white"
"1354","pink"
"1355","black"
"1356","royalblue"
"1357","grey60"
"1358","skyblue"
"1359","cyan"
"1360","turquoise"
"1361","brown"
"1362","pink"
"1363","lightcyan"
"1364","green"
"1365","lightcyan"
"1366","grey60"
"1367","red"
"1368","magenta"
"1369","turquoise"
"1370","blue"
"1371","lightcyan"
"1372","green"
"1373","green"
"1374","green"
"1375","green"
"1376","lightcyan"
"1377","cyan"
"1378","royalblue"
"1379","tan"
"1380","orange"
"1381","orange"
"1382","orange"
"1383","grey"
"1384","brown"
"1385","black"
"1386","turquoise"
"1387","green"
"1388","blue"
"1389","lightgreen"
"1390","green"
"1391","turquoise"
"1392","midnightblue"
"1393","brown"
"1394","tan"
"1395","lightcyan"
"1396","orange"
"1397","green"
"1398","orange"
"1399","green"
"1400","orange"
"1401","lightcyan"
"1402","darkgrey"
"1403","purple"
"1404","turquoise"
"1405","salmon"
